station,cope_or_chae,size,corrected_size,correction
33,cha,146,5.6,258.8
33,cha,136.9,5.3,258.8
33,cha,514.2,19.9,258.8
33,cop,24.2,0.9,258.8
33,cop,55.6,2.1,258.8
33,cop,126.6,4.9,258.8
33,cha,362.5,14.0,258.8
33,cop,59.3,2.3,258.8
33,cop,32.3,1.2,258.8
33,cop,29.2,1.1,258.8
33,cha,247.3,9.6,258.8
33,cha,236.9,9.2,258.8
33,cha,188.1,7.3,258.8
33,cha,151.4,5.9,258.8
33,cha,217.2,8.4,258.8
33,cop,28.6,1.1,258.8
33,cop,39.2,1.5,258.8
33,cop,27.3,1.1,258.8
33,cha,227,8.8,258.8
33,cop,51.5,2.0,258.8
13,cha,628.6,24.1,260.3
13,cop,31,1.2,260.3
13,cha,287.6,11.0,260.3
13,cha,187.6,7.2,260.3
13,cha,226.5,8.7,260.3
13,cha,150.2,5.8,260.3
13,cop,26.7,1.0,260.3
13,cha,589.1,22.6,260.3
13,cop,38.5,1.5,260.3
13,cop,33.1,1.3,260.3
13,cop,37.5,1.4,260.3
13,cop,29.4,1.1,260.3
13,cop,35,1.3,260.3
13,cha,175.5,6.7,260.3
13,cop,21.6,0.8,260.3
13,cja,124.5,4.8,260.3
13,cha,193.6,7.4,260.3
13,cop,32.3,1.2,260.3
17,cop,31.6,1.2,266.9
17,cop,16.4,0.6,266.9
17,cop,25.6,1.0,266.9
17,cop,23.8,0.9,266.9
17,cha,240.1,9.0,266.9
17,cop,21.8,0.8,266.9
17,cop,23.3,0.9,266.9
17,cha,218.9,8.2,266.9
17,cop,29.1,1.1,266.9
17,cop,28.3,1.1,266.9
17,cop,38.5,1.4,266.9
17,cja,296.3,11.1,266.9
17,cja,144.4,5.4,266.9
17,cop,21.3,0.8,266.9
17,cha,687,25.7,266.9
17,cha,173.8,6.5,266.9
17,cha,166.7,6.2,266.9
17,cha,270.3,10.1,266.9
20,cha,211.8,7.0,302.3
20,cha,403.6,13.4,302.3
20,cha,233.8,7.7,302.3
20,cha,233,7.7,302.3
20,cop,32.8,1.1,302.3
20,cha,167,5.5,302.3
20,cop,43.7,1.4,302.3
20,cop,32.1,1.1,302.3
20,cop,32.4,1.1,302.3
20,cop,26.1,0.9,302.3
20,cop,38.8,1.3,302.3
20,cop,41.2,1.4,302.3
20,cha,134.2,4.4,302.3
20,cha,162.2,5.4,302.3
20,cha,167,5.5,302.3
20,cha,273.4,9.0,302.3
20,cop,60.4,2.0,302.3
20,cop,56.9,1.9,302.3
20,cha,176.2,5.8,302.3
20,cop,32.7,1.1,302.3
23,cop,33.8,1.0,354.2
23,cop,32,0.9,354.2
23,cop,19,0.5,354.2
23,cop,27.3,0.8,354.2
23,cop,31.3,0.9,354.2
23,cha,209.4,5.9,354.2
23,cop,31.9,0.9,354.2
23,cop,29.3,0.8,354.2
23,cop,46.5,1.3,354.2
23,cha,389.8,11.0,354.2
23,cop,27.9,0.8,354.2
23,cha,300.9,8.5,354.2
23,cha,229.1,6.5,354.2
23,cha,437.2,12.3,354.2
23,cha,171.6,4.8,354.2
23,cha,331.7,9.4,354.2
26,cha,565.6,21.6,262.1
26,cha,233.8,8.9,262.1
26,cha,506.4,19.3,262.1
26,cha,889.1,33.9,262.1
26,cha,184.6,7.0,262.1
26,cha,257.1,9.8,262.1
26,cha,262.1,10.0,262.1
26,cop,33.5,1.3,262.1
26,cop,31.4,1.2,262.1
26,cop,18.7,0.7,262.1
26,cop,23.3,0.9,262.1
26,cop,33.1,1.3,262.1
26,cop,59,2.3,262.1
26,cop,41.6,1.6,262.1
26,cha,129.1,4.9,262.1
26,cop,47.5,1.8,262.1
26,cop,25.6,1.0,262.1
26,cop,29.5,1.1,262.1
26,cha,361.2,13.8,262.1
26,cha,258.2,9.9,262.1
29,cha,688.9,14.5,476.4
29,cha,342,7.2,476.4
29,cha,257.7,5.4,476.4
29,cha,295.3,6.2,476.4
29,cha,488.9,10.3,476.4
29,cop,52.2,1.1,476.4
29,cop,52,1.1,476.4
29,cop,93.7,2.0,476.4
29,cop,68.4,1.4,476.4
29,cha,842,17.7,476.4
29,cop,43.7,0.9,476.4
29,cop,63.8,1.3,476.4
29,cha,619.2,13.0,476.4
29,cop,103,2.2,476.4
29,cop,68,1.4,476.4
29,cha,221.6,4.7,476.4
29,cha,341.5,7.2,476.4
29,cop,95.1,2.0,476.4
29,cop,42.8,0.9,476.4
29,cha,976.3,20.5,476.4
36,cha,223.5,8.2,271.4
36,cha,303.7,11.2,271.4
36,cha,349.9,12.9,271.4
36,cop,23.3,0.9,271.4
36,cha,390.2,14.4,271.4
36,cop,42.4,1.6,271.4
36,cop,32.7,1.2,271.4
36,cop,13.9,0.5,271.4
36,cop,20,0.7,271.4
36,cop,21,0.8,271.4
36,cop,14.4,0.5,271.4
36,cop,37.9,1.4,271.4
36,cha,271,10.0,271.4
36,cop,20.6,0.8,271.4
36,cha,573.6,21.1,271.4
36,cha,138.1,5.1,271.4
36,cha,444.4,16.4,271.4
36,cha,232.9,8.6,271.4
36,cha,258.8,9.5,271.4
38,cha,369.9,13.3,278.2
38,cha,336.3,12.1,278.2
38,cha,368.2,13.2,278.2
38,cha,753,27.1,278.2
38,cop,32.3,1.2,278.2
38,cop,30,1.1,278.2
38,cha,513.4,18.5,278.2
38,cha,172.4,6.2,278.2
38,cop,22.2,0.8,278.2
38,cha,376.5,13.5,278.2
38,cop,28.3,1.0,278.2
38,cop,34.1,1.2,278.2
38,cop,59.2,2.1,278.2
38,cop,34.7,1.2,278.2
38,cop,42.5,1.5,278.2
38,cop,35.4,1.3,278.2
38,cha,517.5,18.6,278.2
38,cha,215.1,7.7,278.2
38,cha,261.7,9.4,278.2
42,cha,225.3,8.4,266.7
42,cha,243.2,9.1,266.7
42,cha,257.8,9.7,266.7
42,cop,18.4,0.7,266.7
42,cop,26.6,1.0,266.7
42,cha,165.4,6.2,266.7
42,cha,377.5,14.2,266.7
42,cop,22.2,0.8,266.7
42,cha,216.7,8.1,266.7
42,cha,458.6,17.2,266.7
42,cop,24.3,0.9,266.7
42,cop,24.4,0.9,266.7
42,cop,50.4,1.9,266.7
42,cop,28.2,1.1,266.7
42,cha,259.9,9.7,266.7
42,cha,294.8,11.1,266.7
42,cop,43.4,1.6,266.7
42,cop,34.1,1.3,266.7
42,cop,17.2,0.6,266.7
42,cha,386,14.5,266.7
44,cha,786,24.9,315.1
44,cha,1179.7,37.4,315.1
44,cha,373.2,11.8,315.1
44,cha,593.4,18.8,315.1
44,cha,353.9,11.2,315.1
44,cha,187.7,6.0,315.1
44,cha,218.9,6.9,315.1
44,cha,350.7,11.1,315.1
44,cop,26,0.8,315.1
44,cop,60.4,1.9,315.1
44,cop,73.2,2.3,315.1
44,cop,43.9,1.4,315.1
44,cha,233.7,7.4,315.1
44,cop,46.6,1.5,315.1
44,cop,28,0.9,315.1
44,cop,20,0.6,315.1
44,cop,27.2,0.9,315.1
44,cop,31.9,1.0,315.1
44,cop,73.2,2.3,315.1
44,cha,140.6,4.5,315.1