station,chl_a_concentration,biomass,number,cope_or_chae,date,lat_deg,lat_min,lat_n_s,long_deg,long_min,long_e_w,lat,long
13,0.1,14.8,15,cha,11-Oct-23,9,44.2,S,178,56.8,E,-9.737,-178.947
13,0.1,54.4,55,cop,11-Oct-23,9,44.2,S,178,56.8,E,-9.737,-178.947
17,0.1,4,4,cha,17-Oct-23,9,56.5,S,178,29.3,E,-9.942,-178.488
17,0.1,66,66,cop,17-Oct-23,9,56.5,S,178,29.3,E,-9.942,-178.488
20,0.05,0,0,cha,18-Oct-23,12,10.43,S,176,56.96,E,-12.174,-176.949
20,0.05,71,71,cop,18-Oct-23,12,10.43,S,176,56.96,E,-12.174,-176.949
23,0.04,18.4,19,cha,20-Oct-23,14,37.1,S,176,1.9,E,-14.618,-176.032
23,0.04,58.2,60,cop,20-Oct-23,14,37.1,S,176,1.9,E,-14.618,-176.032
26,0.05,2,2,cha,21-Oct-23,17,11.2,S,176,20.4,E,-17.187,-176.340
26,0.05,66,65,cop,21-Oct-23,17,11.2,S,176,20.4,E,-17.187,-176.340
29,0.09,3,3,cha,23-Oct-23,19,14.5,S,176,10.8,E,-19.242,-176.180
29,0.09,74,74,cop,23-Oct-23,19,14.5,S,176,10.8,E,-19.242,-176.180
33,0.11,1.9,2,cha,25-Oct-23,21,25.7,S,175,57,E,-21.428,-175.950
33,0.11,66.7,56,cop,25-Oct-23,21,25.7,S,175,57,E,-21.428,-175.950
36,0.13,14,14,cha,27-Oct-23,23,52,S,175,37.6,E,-23.867,-175.627
36,0.13,69,69,cop,27-Oct-23,23,52,S,175,37.6,E,-23.867,-175.627
38,0.11,5,5,cha,28-Oct-23,25,30.7,S,174,47.8,E,-25.512,-174.797
38,0.11,70,70,cop,28-Oct-23,25,30.7,S,174,47.8,E,-25.512,-174.797
42,0.05,2,2,cha,31-Oct-23,28,55.1,S,176,7.2,E,-28.918,-176.120
42,0.05,68,68,cop,31-Oct-23,28,55.1,S,176,7.2,E,-28.918,-176.120
44,0.07,2,2,cha,1-Nov-23,30,3.1,S,176,21.6,E,-30.052,-176.360
44,0.07,69,70,cop,1-Nov-23,30,3.1,S,176,21.6,E,-30.052,-176.360